ID	Group	Date	Time	BT
S11	Non-hib	11.02.2020	05:31:01	36,52
S11	Non-hib	11.02.2020	05:51:01	36,52
S11	Non-hib	11.02.2020	06:11:01	36,458
S11	Non-hib	11.02.2020	06:31:01	36,021
S11	Non-hib	11.02.2020	06:51:01	36,271
S11	Non-hib	11.02.2020	07:11:01	36,645
S11	Non-hib	11.02.2020	07:31:01	36,146
S11	Non-hib	11.02.2020	07:51:01	35,772
S11	Non-hib	11.02.2020	08:11:01	36,333
S11	Non-hib	11.02.2020	08:31:01	36,271
S11	Non-hib	11.02.2020	08:51:01	36,084
S11	Non-hib	11.02.2020	09:11:01	35,647
S11	Non-hib	11.02.2020	09:31:01	36,707
S11	Non-hib	11.02.2020	09:51:01	36,895
S11	Non-hib	11.02.2020	10:11:01	36,52
S11	Non-hib	11.02.2020	10:31:01	36,645
S11	Non-hib	11.02.2020	10:51:01	36,583
S11	Non-hib	11.02.2020	11:11:01	36,271
S11	Non-hib	11.02.2020	11:31:01	36,146
S11	Non-hib	11.02.2020	11:51:01	36,895
S11	Non-hib	11.02.2020	12:11:01	36,084
S11	Non-hib	11.02.2020	12:31:01	36,333
S11	Non-hib	11.02.2020	12:51:01	36,271
S11	Non-hib	11.02.2020	13:11:01	36,458
S11	Non-hib	11.02.2020	13:31:01	36,333
S11	Non-hib	11.02.2020	13:51:01	36,021
S11	Non-hib	11.02.2020	14:11:01	36,271
S11	Non-hib	11.02.2020	14:31:01	35,71
S11	Non-hib	11.02.2020	14:51:01	36,396
S11	Non-hib	11.02.2020	15:11:01	35,897
S11	Non-hib	11.02.2020	15:31:01	36,396
S11	Non-hib	11.02.2020	15:51:01	36,458
S11	Non-hib	11.02.2020	16:11:01	36,52
S11	Non-hib	11.02.2020	16:31:01	36,707
S11	Non-hib	11.02.2020	16:51:01	36,396
S11	Non-hib	11.02.2020	17:11:01	36,52
S11	Non-hib	11.02.2020	17:31:01	36,146
S11	Non-hib	11.02.2020	17:51:01	37,019
S11	Non-hib	11.02.2020	18:11:01	36,52
S11	Non-hib	11.02.2020	18:31:01	37,331
S11	Non-hib	11.02.2020	18:51:01	36,77
S11	Non-hib	11.02.2020	19:11:01	36,583
S11	Non-hib	11.02.2020	19:31:01	36,333
S11	Non-hib	11.02.2020	19:51:01	37,082
S11	Non-hib	11.02.2020	20:11:01	36,957
S11	Non-hib	11.02.2020	20:31:01	36,084
S11	Non-hib	11.02.2020	20:51:01	37,144
S11	Non-hib	11.02.2020	21:11:01	37,019
S11	Non-hib	11.02.2020	21:31:01	36,583
S11	Non-hib	11.02.2020	21:51:01	37,019
S11	Non-hib	11.02.2020	22:11:01	36,583
S11	Non-hib	11.02.2020	22:31:01	37,019
S11	Non-hib	11.02.2020	22:51:01	36,895
S11	Non-hib	11.02.2020	23:11:01	36,52
S11	Non-hib	11.02.2020	23:31:01	36,209
S11	Non-hib	11.02.2020	23:51:01	37,456
S11	Non-hib	12.02.2020	00:11:01	35,834
S11	Non-hib	12.02.2020	00:31:01	36,77
S11	Non-hib	12.02.2020	00:51:01	36,52
S11	Non-hib	12.02.2020	01:11:01	36,458
S11	Non-hib	12.02.2020	01:31:01	36,895
S11	Non-hib	12.02.2020	01:51:01	36,895
S11	Non-hib	12.02.2020	02:11:01	37,393
S11	Non-hib	12.02.2020	02:31:01	37,019
S11	Non-hib	12.02.2020	02:51:01	36,645
S11	Non-hib	12.02.2020	03:11:01	36,52
S11	Non-hib	12.02.2020	03:31:01	36,895
S11	Non-hib	12.02.2020	03:51:01	36,895
S11	Non-hib	12.02.2020	04:11:01	36,333
S11	Non-hib	12.02.2020	04:31:01	35,897
S11	Non-hib	12.02.2020	04:51:01	36,271
S11	Non-hib	12.02.2020	05:11:01	36,52
S11	Non-hib	12.02.2020	05:31:01	36,77
S11	Non-hib	12.02.2020	05:51:01	36,209
S11	Non-hib	12.02.2020	06:11:01	36,271
S11	Non-hib	12.02.2020	06:31:01	36,146
S11	Non-hib	12.02.2020	06:51:01	36,583
S11	Non-hib	12.02.2020	07:11:01	36,583
S11	Non-hib	12.02.2020	07:31:01	36,209
S11	Non-hib	12.02.2020	07:51:01	36,77
S11	Non-hib	12.02.2020	08:11:01	36,583
S11	Non-hib	12.02.2020	08:31:01	36,084
S11	Non-hib	12.02.2020	08:51:01	36,77
S11	Non-hib	12.02.2020	09:11:01	36,146
S11	Non-hib	12.02.2020	09:31:01	35,897
S11	Non-hib	12.02.2020	09:51:01	36,271
S11	Non-hib	12.02.2020	10:11:01	36,396
S11	Non-hib	12.02.2020	10:31:01	35,959
S11	Non-hib	12.02.2020	10:51:01	35,772
S11	Non-hib	12.02.2020	11:11:01	36,77
S11	Non-hib	12.02.2020	11:31:01	36,396
S11	Non-hib	12.02.2020	11:51:01	36,146
S11	Non-hib	12.02.2020	12:11:01	35,772
S11	Non-hib	12.02.2020	12:31:01	36,895
S11	Non-hib	12.02.2020	12:51:01	36,77
S11	Non-hib	12.02.2020	13:11:01	36,77
S11	Non-hib	12.02.2020	13:31:01	36,396
S11	Non-hib	12.02.2020	13:51:01	36,895
S11	Non-hib	12.02.2020	14:11:01	36,77
S11	Non-hib	12.02.2020	14:31:01	36,52
S11	Non-hib	12.02.2020	14:51:01	36,271
S11	Non-hib	12.02.2020	15:11:01	36,52
S11	Non-hib	12.02.2020	15:31:01	36,458
S11	Non-hib	12.02.2020	15:51:01	36,52
S11	Non-hib	12.02.2020	16:11:01	36,084
S11	Non-hib	12.02.2020	16:31:01	36,084
S11	Non-hib	12.02.2020	16:51:01	36,583
S11	Non-hib	12.02.2020	17:11:01	36,895
S11	Non-hib	12.02.2020	17:31:01	37,082
S11	Non-hib	12.02.2020	17:51:01	36,77
S11	Non-hib	12.02.2020	18:11:01	37,082
S11	Non-hib	12.02.2020	18:31:01	36,583
S11	Non-hib	12.02.2020	18:51:01	36,458
S11	Non-hib	12.02.2020	19:11:01	36,832
S11	Non-hib	12.02.2020	19:31:01	36,52
S11	Non-hib	12.02.2020	19:51:01	36,645
S11	Non-hib	12.02.2020	20:11:01	36,52
S11	Non-hib	12.02.2020	20:31:01	36,209
S11	Non-hib	12.02.2020	20:51:01	36,832
S11	Non-hib	12.02.2020	21:11:01	37,393
S11	Non-hib	12.02.2020	21:31:01	36,957
S11	Non-hib	12.02.2020	21:51:01	36,895
S11	Non-hib	12.02.2020	22:11:01	36,707
S11	Non-hib	12.02.2020	22:31:01	36,396
S11	Non-hib	12.02.2020	22:51:01	36,707
S11	Non-hib	12.02.2020	23:11:01	36,583
S11	Non-hib	12.02.2020	23:31:01	37,144
S11	Non-hib	12.02.2020	23:51:01	36,957
S11	Non-hib	13.02.2020	00:11:01	36,707
S11	Non-hib	13.02.2020	00:31:01	36,583
S11	Non-hib	13.02.2020	00:51:01	37,269
S11	Non-hib	13.02.2020	01:11:01	37,144
S11	Non-hib	13.02.2020	01:31:01	37,58
S11	Non-hib	13.02.2020	01:51:01	36,271
S11	Non-hib	13.02.2020	02:11:01	36,52
S11	Non-hib	13.02.2020	02:31:01	36,458
S11	Non-hib	13.02.2020	02:51:01	35,959
S11	Non-hib	13.02.2020	03:11:01	36,645
S11	Non-hib	13.02.2020	03:31:01	35,959
S11	Non-hib	13.02.2020	03:51:01	36,645
S11	Non-hib	13.02.2020	04:11:01	36,52
S11	Non-hib	13.02.2020	04:31:01	36,209
S11	Non-hib	13.02.2020	04:51:01	36,832
S11	Non-hib	13.02.2020	05:11:01	36,146
S11	Non-hib	13.02.2020	05:31:01	36,146
S11	Non-hib	13.02.2020	05:51:01	36,146
S11	Non-hib	13.02.2020	06:11:01	36,084
S11	Non-hib	13.02.2020	06:31:01	36,021
S11	Non-hib	13.02.2020	06:51:01	35,959
S11	Non-hib	13.02.2020	07:11:01	36,52
S11	Non-hib	13.02.2020	07:31:01	35,897
S11	Non-hib	13.02.2020	07:51:01	35,772
S11	Non-hib	13.02.2020	08:11:01	36,458
S11	Non-hib	13.02.2020	08:31:01	36,021
S11	Non-hib	13.02.2020	08:51:01	36,021
S11	Non-hib	13.02.2020	09:11:01	36,52
S11	Non-hib	13.02.2020	09:31:01	36,77
S11	Non-hib	13.02.2020	09:51:01	35,959
S11	Non-hib	13.02.2020	10:11:01	36,832
S11	Non-hib	13.02.2020	10:31:01	36,333
S11	Non-hib	13.02.2020	10:51:01	35,834
S11	Non-hib	13.02.2020	11:11:01	36,583
S11	Non-hib	13.02.2020	11:31:01	37,019
S11	Non-hib	13.02.2020	11:51:01	36,209
S11	Non-hib	13.02.2020	12:11:01	36,146
S11	Non-hib	13.02.2020	12:31:01	36,146
S11	Non-hib	13.02.2020	12:51:01	36,333
S11	Non-hib	13.02.2020	13:11:01	35,897
S11	Non-hib	13.02.2020	13:31:01	35,46
S11	Non-hib	13.02.2020	13:51:01	35,46
S11	Non-hib	13.02.2020	14:11:01	36,021
S11	Non-hib	13.02.2020	14:31:01	36,458
S11	Non-hib	13.02.2020	14:51:01	35,834
S11	Non-hib	13.02.2020	15:11:01	36,084
S11	Non-hib	13.02.2020	15:31:01	36,209
S11	Non-hib	13.02.2020	15:51:01	36,396
S11	Non-hib	13.02.2020	16:11:01	36,333
S11	Non-hib	13.02.2020	16:31:01	36,021
S11	Non-hib	13.02.2020	16:51:01	36,583
S11	Non-hib	13.02.2020	17:11:01	36,707
S11	Non-hib	13.02.2020	17:31:01	36,333
S11	Non-hib	13.02.2020	17:51:01	36,458
S11	Non-hib	13.02.2020	18:11:01	37,144
S11	Non-hib	13.02.2020	18:31:01	37,206
S11	Non-hib	13.02.2020	18:51:01	36,645
S11	Non-hib	13.02.2020	19:11:01	36,895
S11	Non-hib	13.02.2020	19:31:01	36,271
S11	Non-hib	13.02.2020	19:51:01	36,021
S11	Non-hib	13.02.2020	20:11:01	36,146
S11	Non-hib	13.02.2020	20:31:01	36,458
S11	Non-hib	13.02.2020	20:51:01	37,082
S11	Non-hib	13.02.2020	21:11:01	36,895
S11	Non-hib	13.02.2020	21:31:01	36,583
S11	Non-hib	13.02.2020	21:51:01	36,458
S11	Non-hib	13.02.2020	22:11:01	37,144
S11	Non-hib	13.02.2020	22:31:01	36,77
S11	Non-hib	13.02.2020	22:51:01	37,269
S11	Non-hib	13.02.2020	23:11:01	37,144
S11	Non-hib	13.02.2020	23:31:01	36,396
S11	Non-hib	13.02.2020	23:51:01	36,957
S11	Non-hib	14.02.2020	00:11:01	36,333
S11	Non-hib	14.02.2020	00:31:01	36,146
S11	Non-hib	14.02.2020	00:51:01	36,084
S11	Non-hib	14.02.2020	01:11:01	35,772
S11	Non-hib	14.02.2020	01:31:01	36,146
S11	Non-hib	14.02.2020	01:51:01	36,77
S11	Non-hib	14.02.2020	02:11:01	36,957
S11	Non-hib	14.02.2020	02:31:01	36,645
S11	Non-hib	14.02.2020	02:51:01	36,707
S11	Non-hib	14.02.2020	03:11:01	36,021
S11	Non-hib	14.02.2020	03:31:01	35,024
S11	Non-hib	14.02.2020	03:51:01	36,271
S11	Non-hib	14.02.2020	04:11:01	36,084
S11	Non-hib	14.02.2020	04:31:01	35,71
S11	Non-hib	14.02.2020	04:51:01	36,084
S11	Non-hib	14.02.2020	05:11:01	35,959
S11	Non-hib	14.02.2020	05:31:01	35,647
S11	Non-hib	14.02.2020	05:51:01	36,333
S11	Non-hib	14.02.2020	06:11:01	36,146
S11	Non-hib	14.02.2020	06:31:01	36,209
S11	Non-hib	14.02.2020	06:51:01	35,772
S11	Non-hib	14.02.2020	07:11:01	36,271
S11	Non-hib	14.02.2020	07:31:01	36,021
S11	Non-hib	14.02.2020	07:51:01	36,271
S11	Non-hib	14.02.2020	08:11:01	36,271
S11	Non-hib	14.02.2020	08:31:01	36,707
S11	Non-hib	14.02.2020	08:51:01	36,209
S11	Non-hib	14.02.2020	09:11:01	35,772
S11	Non-hib	14.02.2020	09:31:01	36,146
S11	Non-hib	14.02.2020	09:51:01	36,333
S11	Non-hib	14.02.2020	10:11:01	36,146
S11	Non-hib	14.02.2020	10:31:01	35,959
S11	Non-hib	14.02.2020	10:51:01	36,333
S11	Non-hib	14.02.2020	11:11:01	35,834
S11	Non-hib	14.02.2020	11:31:01	35,834
S11	Non-hib	14.02.2020	11:51:01	36,021
S11	Non-hib	14.02.2020	12:11:01	36,333
S11	Non-hib	14.02.2020	12:31:01	36,458
S11	Non-hib	14.02.2020	12:51:01	36,396
S11	Non-hib	14.02.2020	13:11:01	36,396
S11	Non-hib	14.02.2020	13:31:01	36,458
S11	Non-hib	14.02.2020	13:51:01	36,209
S11	Non-hib	14.02.2020	14:11:01	36,458
S11	Non-hib	14.02.2020	14:31:01	36,146
S11	Non-hib	14.02.2020	14:51:01	36,77
S11	Non-hib	14.02.2020	15:11:01	36,146
S11	Non-hib	14.02.2020	15:31:01	36,396
S11	Non-hib	14.02.2020	15:51:01	36,333
S11	Non-hib	14.02.2020	16:11:01	36,396
S11	Non-hib	14.02.2020	16:31:01	36,333
S11	Non-hib	14.02.2020	16:51:01	36,396
S11	Non-hib	14.02.2020	17:11:01	35,46
S11	Non-hib	14.02.2020	17:31:01	36,396
S11	Non-hib	14.02.2020	17:51:01	36,645
S11	Non-hib	14.02.2020	18:11:01	35,647
S11	Non-hib	14.02.2020	18:31:01	35,585
S11	Non-hib	14.02.2020	18:51:01	36,146
S11	Non-hib	14.02.2020	19:11:01	36,707
S11	Non-hib	14.02.2020	19:31:01	36,52
S11	Non-hib	14.02.2020	19:51:01	36,333
S11	Non-hib	14.02.2020	20:11:01	36,645
S11	Non-hib	14.02.2020	20:31:01	36,084
S11	Non-hib	14.02.2020	20:51:01	37,144
S11	Non-hib	14.02.2020	21:11:01	36,832
S11	Non-hib	14.02.2020	21:31:01	36,458
S11	Non-hib	14.02.2020	21:51:01	36,832
S11	Non-hib	14.02.2020	22:11:01	37,019
S11	Non-hib	14.02.2020	22:31:01	36,707
S11	Non-hib	14.02.2020	22:51:01	36,645
S11	Non-hib	14.02.2020	23:11:01	36,458
S11	Non-hib	14.02.2020	23:31:01	36,957
S11	Non-hib	14.02.2020	23:51:01	37,019
S11	Non-hib	15.02.2020	00:11:01	36,77
S11	Non-hib	15.02.2020	00:31:01	36,52
S11	Non-hib	15.02.2020	00:51:01	36,707
S11	Non-hib	15.02.2020	01:11:01	36,458
S11	Non-hib	15.02.2020	01:31:01	36,209
S11	Non-hib	15.02.2020	01:51:01	36,146
S11	Non-hib	15.02.2020	02:11:01	36,895
S11	Non-hib	15.02.2020	02:31:01	36,396
S11	Non-hib	15.02.2020	02:51:01	36,333
S11	Non-hib	15.02.2020	03:11:01	37,269
S11	Non-hib	15.02.2020	03:31:01	35,897
S11	Non-hib	15.02.2020	03:51:01	36,52
S11	Non-hib	15.02.2020	04:11:01	36,271
S11	Non-hib	15.02.2020	04:31:01	36,084
S11	Non-hib	15.02.2020	04:51:01	36,271
S11	Non-hib	15.02.2020	05:11:01	35,71
S11	Non-hib	15.02.2020	05:31:01	36,084
S11	Non-hib	15.02.2020	05:51:01	36,084
S11	Non-hib	15.02.2020	06:11:01	35,647
S11	Non-hib	15.02.2020	06:31:01	35,211
S11	Non-hib	15.02.2020	06:51:01	35,71
S11	Non-hib	15.02.2020	07:11:01	35,647
S11	Non-hib	15.02.2020	07:31:01	35,834
S11	Non-hib	15.02.2020	07:51:01	36,084
S11	Non-hib	15.02.2020	08:11:01	35,897
S11	Non-hib	15.02.2020	08:31:01	35,46
S11	Non-hib	15.02.2020	08:51:01	36,271
S11	Non-hib	15.02.2020	09:11:01	36,209
S11	Non-hib	15.02.2020	09:31:01	35,897
S11	Non-hib	15.02.2020	09:51:01	35,71
S11	Non-hib	15.02.2020	10:11:01	36,707
S11	Non-hib	15.02.2020	10:31:01	36,146
S11	Non-hib	15.02.2020	10:51:01	36,396
S11	Non-hib	15.02.2020	11:11:01	36,146
S11	Non-hib	15.02.2020	11:31:01	35,71
S11	Non-hib	15.02.2020	11:51:01	36,084
S11	Non-hib	15.02.2020	12:11:01	35,959
S11	Non-hib	15.02.2020	12:31:01	36,271
S11	Non-hib	15.02.2020	12:51:01	36,084
S11	Non-hib	15.02.2020	13:11:01	35,959
S11	Non-hib	15.02.2020	13:31:01	34,899
S11	Non-hib	15.02.2020	13:51:01	36,146
S11	Non-hib	15.02.2020	14:11:01	35,897
S11	Non-hib	15.02.2020	14:31:01	35,585
S11	Non-hib	15.02.2020	14:51:01	36,209
S11	Non-hib	15.02.2020	15:11:01	35,398
S11	Non-hib	15.02.2020	15:31:01	36,333
S11	Non-hib	15.02.2020	15:51:01	36,021
S11	Non-hib	15.02.2020	16:11:01	36,271
S11	Non-hib	15.02.2020	16:31:01	35,335
S11	Non-hib	15.02.2020	16:51:01	36,957
S11	Non-hib	15.02.2020	17:11:01	36,52
S11	Non-hib	15.02.2020	17:31:01	36,146
S11	Non-hib	15.02.2020	17:51:01	36,146
S11	Non-hib	15.02.2020	18:11:01	36,146
S11	Non-hib	15.02.2020	18:31:01	36,333
S11	Non-hib	15.02.2020	18:51:01	36,583
S11	Non-hib	15.02.2020	19:11:01	37,082
S11	Non-hib	15.02.2020	19:31:01	37,456
S11	Non-hib	15.02.2020	19:51:01	37,892
S11	Non-hib	15.02.2020	20:11:01	37,019
S11	Non-hib	15.02.2020	20:31:01	36,707
S11	Non-hib	15.02.2020	20:51:01	36,396
S11	Non-hib	15.02.2020	21:11:01	36,209
S11	Non-hib	15.02.2020	21:31:01	35,71
S11	Non-hib	15.02.2020	21:51:01	36,707
S11	Non-hib	15.02.2020	22:11:01	36,458
S11	Non-hib	15.02.2020	22:31:01	36,084
S11	Non-hib	15.02.2020	22:51:01	36,084
S11	Non-hib	15.02.2020	23:11:01	36,645
S11	Non-hib	15.02.2020	23:31:01	36,645
S11	Non-hib	15.02.2020	23:51:01	36,645
S11	Non-hib	16.02.2020	00:11:01	36,957
S11	Non-hib	16.02.2020	00:31:01	36,707
S11	Non-hib	16.02.2020	00:51:01	37,019
S11	Non-hib	16.02.2020	01:11:01	37,269
S11	Non-hib	16.02.2020	01:31:01	37,144
S11	Non-hib	16.02.2020	01:51:01	37,269
S11	Non-hib	16.02.2020	02:11:01	38,204
S11	Non-hib	16.02.2020	02:31:01	36,645
S11	Non-hib	16.02.2020	02:51:01	36,77
S11	Non-hib	16.02.2020	03:11:01	37,144
S11	Non-hib	16.02.2020	03:31:01	36,209
S11	Non-hib	16.02.2020	03:51:01	35,46
S11	Non-hib	16.02.2020	04:11:01	35,71
S11	Non-hib	16.02.2020	04:31:01	35,71
S11	Non-hib	16.02.2020	04:51:01	35,024
S11	Non-hib	16.02.2020	05:11:01	36,645
S11	Non-hib	16.02.2020	05:31:01	36,271
S11	Non-hib	16.02.2020	05:51:01	35,959
S11	Non-hib	16.02.2020	06:11:01	36,146
S11	Non-hib	16.02.2020	06:31:01	36,209
S11	Non-hib	16.02.2020	06:51:01	36,458
S11	Non-hib	16.02.2020	07:11:01	36,146
S11	Non-hib	16.02.2020	07:31:01	35,772
S11	Non-hib	16.02.2020	07:51:01	35,71
S11	Non-hib	16.02.2020	08:11:01	36,707
S11	Non-hib	16.02.2020	08:31:01	36,146
S11	Non-hib	16.02.2020	08:51:01	36,021
S11	Non-hib	16.02.2020	09:11:01	35,647
S11	Non-hib	16.02.2020	09:31:01	35,398
S11	Non-hib	16.02.2020	09:51:01	35,897
S11	Non-hib	16.02.2020	10:11:01	36,209
S11	Non-hib	16.02.2020	10:31:01	36,021
S11	Non-hib	16.02.2020	10:51:01	35,897
S11	Non-hib	16.02.2020	11:11:01	35,46
S11	Non-hib	16.02.2020	11:31:01	36,209
S11	Non-hib	16.02.2020	11:51:01	35,959
S11	Non-hib	16.02.2020	12:11:01	36,021
S11	Non-hib	16.02.2020	12:31:01	36,271
S11	Non-hib	16.02.2020	12:51:01	36,146
S11	Non-hib	16.02.2020	13:11:01	36,333
S11	Non-hib	16.02.2020	13:31:01	35,71
S11	Non-hib	16.02.2020	13:51:01	36,52
S11	Non-hib	16.02.2020	14:11:01	35,523
S11	Non-hib	16.02.2020	14:31:01	36,021
S11	Non-hib	16.02.2020	14:51:01	35,897
S11	Non-hib	16.02.2020	15:11:01	36,271
S11	Non-hib	16.02.2020	15:31:01	36,021
S11	Non-hib	16.02.2020	15:51:01	36,021
S11	Non-hib	16.02.2020	16:11:01	35,71
S11	Non-hib	16.02.2020	16:31:01	36,583
S11	Non-hib	16.02.2020	16:51:01	36,271
S11	Non-hib	16.02.2020	17:11:01	36,271
S11	Non-hib	16.02.2020	17:31:01	36,209
S11	Non-hib	16.02.2020	17:51:01	35,398
S11	Non-hib	16.02.2020	18:11:01	35,772
S11	Non-hib	16.02.2020	18:31:01	35,834
S11	Non-hib	16.02.2020	18:51:01	36,957
S11	Non-hib	16.02.2020	19:11:01	37,206
S11	Non-hib	16.02.2020	19:31:01	37,019
S11	Non-hib	16.02.2020	19:51:01	37,019
S11	Non-hib	16.02.2020	20:11:01	37,144
S11	Non-hib	16.02.2020	20:31:01	36,458
S11	Non-hib	16.02.2020	20:51:01	36,895
S11	Non-hib	16.02.2020	21:11:01	37,206
S11	Non-hib	16.02.2020	21:31:01	36,77
S11	Non-hib	16.02.2020	21:51:01	36,396
S11	Non-hib	16.02.2020	22:11:01	36,583
S11	Non-hib	16.02.2020	22:31:01	36,645
S11	Non-hib	16.02.2020	22:51:01	36,52
S11	Non-hib	16.02.2020	23:11:01	36,021
S11	Non-hib	16.02.2020	23:31:01	36,271
S11	Non-hib	16.02.2020	23:51:01	36,645
S11	Non-hib	17.02.2020	00:11:01	36,146
S11	Non-hib	17.02.2020	00:31:01	36,458
S11	Non-hib	17.02.2020	00:51:01	36,77
S11	Non-hib	17.02.2020	01:11:01	37,456
S11	Non-hib	17.02.2020	01:31:01	38,017
S11	Non-hib	17.02.2020	01:51:01	36,707
S11	Non-hib	17.02.2020	02:11:01	36,77
S11	Non-hib	17.02.2020	02:31:01	36,271
S11	Non-hib	17.02.2020	02:51:01	35,772
S11	Non-hib	17.02.2020	03:11:01	36,271
S11	Non-hib	17.02.2020	03:31:01	36,021
S11	Non-hib	17.02.2020	03:51:01	35,585
S11	Non-hib	17.02.2020	04:11:01	35,71
S11	Non-hib	17.02.2020	04:31:01	35,897
S11	Non-hib	17.02.2020	04:51:01	34,836
S11	Non-hib	17.02.2020	05:11:01	36,333
S11	Non-hib	17.02.2020	05:31:01	36,146
S11	Non-hib	17.02.2020	05:51:01	35,834
S11	Non-hib	17.02.2020	06:11:01	35,335
S11	Non-hib	17.02.2020	06:31:01	36,271
S11	Non-hib	17.02.2020	06:51:01	36,021
S11	Non-hib	17.02.2020	07:11:01	36,52
S11	Non-hib	17.02.2020	07:31:01	35,897
S11	Non-hib	17.02.2020	07:51:01	35,024
S11	Non-hib	17.02.2020	08:11:01	36,209
S11	Non-hib	17.02.2020	08:31:01	35,71
S11	Non-hib	17.02.2020	08:51:01	35,71
S11	Non-hib	17.02.2020	09:11:01	36,333
S11	Non-hib	17.02.2020	09:31:01	35,772
S11	Non-hib	17.02.2020	09:51:01	36,396
S11	Non-hib	17.02.2020	10:11:01	36,333
S11	Non-hib	17.02.2020	10:31:01	35,71
S11	Non-hib	17.02.2020	10:51:01	35,211
S11	Non-hib	17.02.2020	11:11:01	36,146
S11	Non-hib	17.02.2020	11:31:01	35,897
S11	Non-hib	17.02.2020	11:51:01	35,71
S11	Non-hib	17.02.2020	12:11:01	36,021
S11	Non-hib	17.02.2020	12:31:01	36,021
S11	Non-hib	17.02.2020	12:51:01	35,46
S11	Non-hib	17.02.2020	13:11:01	35,211
S11	Non-hib	17.02.2020	13:31:01	35,335
S11	Non-hib	17.02.2020	13:51:01	35,398
S11	Non-hib	17.02.2020	14:11:01	35,772
S11	Non-hib	17.02.2020	14:31:01	34,836
S11	Non-hib	17.02.2020	14:51:01	34,961
S11	Non-hib	17.02.2020	15:11:01	36,021
S11	Non-hib	17.02.2020	15:31:01	35,834
S11	Non-hib	17.02.2020	15:51:01	35,585
S11	Non-hib	17.02.2020	16:11:01	36,583
S11	Non-hib	17.02.2020	16:31:01	36,333
S11	Non-hib	17.02.2020	16:51:01	36,146
S11	Non-hib	17.02.2020	17:11:01	36,333
S11	Non-hib	17.02.2020	17:31:01	36,583
S11	Non-hib	17.02.2020	17:51:01	36,52
S11	Non-hib	17.02.2020	18:11:01	37,144
S11	Non-hib	17.02.2020	18:31:01	37,082
S11	Non-hib	17.02.2020	18:51:01	36,645
S11	Non-hib	17.02.2020	19:11:01	36,77
S11	Non-hib	17.02.2020	19:31:01	37,518
S11	Non-hib	17.02.2020	19:51:01	37,892
S11	Non-hib	17.02.2020	20:11:01	37,83
S11	Non-hib	17.02.2020	20:31:01	37,269
S11	Non-hib	17.02.2020	20:51:01	37,019
S11	Non-hib	17.02.2020	21:11:01	36,77
S11	Non-hib	17.02.2020	21:31:01	36,458
S11	Non-hib	17.02.2020	21:51:01	36,583
S11	Non-hib	17.02.2020	22:11:01	36,021
S11	Non-hib	17.02.2020	22:31:01	36,021
S11	Non-hib	17.02.2020	22:51:01	36,333
S11	Non-hib	17.02.2020	23:11:01	36,021
S11	Non-hib	17.02.2020	23:31:01	36,895
S11	Non-hib	17.02.2020	23:51:01	37,643
S11	Non-hib	18.02.2020	00:11:01	36,583
S11	Non-hib	18.02.2020	00:31:01	36,583
S11	Non-hib	18.02.2020	00:51:01	36,707
S11	Non-hib	18.02.2020	01:11:01	36,52
S11	Non-hib	18.02.2020	01:31:01	36,396
S11	Non-hib	18.02.2020	01:51:01	35,959
S11	Non-hib	18.02.2020	02:11:01	36,832
S11	Non-hib	18.02.2020	02:31:01	36,895
S11	Non-hib	18.02.2020	02:51:01	36,957
S11	Non-hib	18.02.2020	03:11:01	37,269
S11	Non-hib	18.02.2020	03:31:01	37,019
S11	Non-hib	18.02.2020	03:51:01	36,645
S11	Non-hib	18.02.2020	04:11:01	36,271
S11	Non-hib	18.02.2020	04:31:01	35,523
S11	Non-hib	18.02.2020	04:51:01	37,019
S11	Non-hib	18.02.2020	05:11:01	36,271
S11	Non-hib	18.02.2020	05:31:01	35,772
S11	Non-hib	18.02.2020	05:51:01	35,398
S11	Non-hib	18.02.2020	06:11:01	35,335
S11	Non-hib	18.02.2020	06:31:01	35,398
S11	Non-hib	18.02.2020	06:51:01	35,398
S11	Non-hib	18.02.2020	07:11:01	35,398
S11	Non-hib	18.02.2020	07:31:01	35,71
S11	Non-hib	18.02.2020	07:51:01	35,211
S11	Non-hib	18.02.2020	08:11:01	35,585
S11	Non-hib	18.02.2020	08:31:01	35,647
S11	Non-hib	18.02.2020	08:51:01	36,52
S11	Non-hib	18.02.2020	09:11:01	36,271
S11	Non-hib	18.02.2020	09:31:01	35,959
S11	Non-hib	18.02.2020	09:51:01	35,71
S11	Non-hib	18.02.2020	10:11:01	36,396
S11	Non-hib	18.02.2020	10:31:01	35,897
S11	Non-hib	18.02.2020	10:51:01	35,71
S11	Non-hib	18.02.2020	11:11:01	35,834
S11	Non-hib	18.02.2020	11:31:01	36,209
S11	Non-hib	18.02.2020	11:51:01	35,959
S11	Non-hib	18.02.2020	12:11:01	35,959
S11	Non-hib	18.02.2020	12:31:01	36,396
S11	Non-hib	18.02.2020	12:51:01	36,209
S11	Non-hib	18.02.2020	13:11:01	36,084
S11	Non-hib	18.02.2020	13:31:01	36,209
S11	Non-hib	18.02.2020	13:51:01	36,707
S11	Non-hib	18.02.2020	14:11:01	35,897
S11	Non-hib	18.02.2020	14:31:01	35,772
S11	Non-hib	18.02.2020	14:51:01	36,084
S11	Non-hib	18.02.2020	15:11:01	36,52
S11	Non-hib	18.02.2020	15:31:01	36,707
S11	Non-hib	18.02.2020	15:51:01	36,396
S11	Non-hib	18.02.2020	16:11:01	37,082
